date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:43:04	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Jun%202023%2017:42:32%20GMT	http://www.mackerelbank.com/robots.txt		(from )
02:43:05	26255/26255	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Jun%202023%2017:42:32%20GMT	http://www.mackerelbank.com/	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/index.html	(from )
02:43:06	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/_bchd/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from http://www.mackerelbank.com/)
02:43:06	59219/59219	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e753-GQgMO4F5hTNqq14c5pJcmYA/Lv0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/_bchd/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.min.js	(from http://www.mackerelbank.com/)
02:43:07	156228/156228	---MCZ	200	added ('OK')	text/css	etag:W/%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	C:/My%20Web%20Sites/_bchd/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from http://www.mackerelbank.com/)
02:43:07	57/57	---MCZ	302	error ('Found')	text/plain	date:Sat,%2017%20Jun%202023%2017:42:35%20GMT	https://unpkg.com/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/_bchd/unpkg.com/swiper/swiper-bundle.min.4.delayed	(from http://www.mackerelbank.com/)
02:43:07	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/_bchd/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from http://www.mackerelbank.com/)
02:43:08	18065/18065	---MCZ	200	added ('OK')	text/css	etag:%224691-p8Uo3JAYru/tmlIzcWjeyyIOL2E%22	https://unpkg.com/swiper@9.4.1/swiper-bundle.min.css	C:/My%20Web%20Sites/_bchd/unpkg.com/swiper@9.4.1/swiper-bundle.min.css	(from http://www.mackerelbank.com/)
02:43:08	56/56	---MCZ	302	error ('Found')	text/plain	date:Sat,%2017%20Jun%202023%2017:42:36%20GMT	https://unpkg.com/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/_bchd/unpkg.com/swiper/swiper-bundle.min.6.delayed	(from http://www.mackerelbank.com/)
02:43:09	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Jun%202023%2017:42:37%20GMT	http://spoqa.github.io/spoqa-han-sans/css/SpoqaHanSansNeo.css	C:/My%20Web%20Sites/_bchd/spoqa.github.io/spoqa-han-sans/css/SpoqaHanSansNeo.8.delayed	(from http://www.mackerelbank.com/)
02:43:09	140562/140562	---MCZ	200	added ('OK')	application/javascript	etag:%2222512-6lnzeyMttt7iaUB4vyHhU6CbrN0%22	https://unpkg.com/swiper@9.4.1/swiper-bundle.min.js	C:/My%20Web%20Sites/_bchd/unpkg.com/swiper@9.4.1/swiper-bundle.min.js	(from http://www.mackerelbank.com/)
02:43:10	3750/3750	---M-Z	200	added ('OK')	text/css	etag:W/%2262a995ff-ea6%22	https://spoqa.github.io/spoqa-han-sans/css/SpoqaHanSansNeo.css	C:/My%20Web%20Sites/_bchd/spoqa.github.io/spoqa-han-sans/css/SpoqaHanSansNeo.css	(from http://www.mackerelbank.com/)
02:43:11	134/134	---MC-	401	error ('Unauthorized')	application/json	date:Sat,%2017%20Jun%202023%2017:42:38%20GMT	http://dapi.kakao.com/v2/maps/sdk.js?appkey=11a92710393c1f6ee23c09f2accd78e0	C:/My%20Web%20Sites/_bchd/dapi.kakao.com/v2/maps/sdk.a2e59.delayed	(from http://www.mackerelbank.com/)
02:43:12	213/213	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Jun%202023%2017:42:40%20GMT	http://www.mackerelbank.com/login/login.php	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/login/login.d.delayed	(from http://www.mackerelbank.com/)
02:43:12	20717/20717	---M--	200	added ('OK')	image/png	etag:%2250ed-5d7181095e840%22	http://www.mackerelbank.com/img/inc/bakLogo.png	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/img/inc/bakLogo.png	(from http://www.mackerelbank.com/)
02:43:12	214/214	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Jun%202023%2017:42:40%20GMT	http://www.mackerelbank.com/login/signup.php	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/login/signup.e.delayed	(from http://www.mackerelbank.com/)
02:43:15	19372/19372	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Jun%202023%2017:42:41%20GMT	http://www.mackerelbank.com/company/intro.php	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/company/intro.html	(from http://www.mackerelbank.com/)
02:43:15	19372/19372	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Jun%202023%2017:42:41%20GMT	http://www.mackerelbank.com/content/content01.php	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/content/content01.html	(from http://www.mackerelbank.com/)
02:43:17	19370/19370	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Jun%202023%2017:42:43%20GMT	http://www.mackerelbank.com/content/content02.php	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/content/content02.html	(from http://www.mackerelbank.com/)
02:43:17	21728/21728	---M--	200	added ('OK')	image/png	etag:%2254e0-5d69e0aa02ec0%22	http://www.mackerelbank.com/img/inc/h-logo.png	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/img/inc/h-logo.png	(from http://www.mackerelbank.com/)
02:43:18	22412/22412	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Jun%202023%2017:42:43%20GMT	http://www.mackerelbank.com/bbs/gallery.php	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/bbs/gallery.html	(from http://www.mackerelbank.com/)
02:43:19	20096/20096	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Jun%202023%2017:42:45%20GMT	http://www.mackerelbank.com/bbs/list.php	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/bbs/list.html	(from http://www.mackerelbank.com/)
02:43:21	8198/8198	---M--	200	added ('OK')	image/png	etag:%222006-5d72a89ad7d80%22	http://www.mackerelbank.com/img/icon/bone-icon.png	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/img/icon/bone-icon.png	(from http://www.mackerelbank.com/)
02:43:23	12678/12678	---M--	200	added ('OK')	image/png	etag:%223186-5d72a89242940%22	http://www.mackerelbank.com/img/icon/brain-icon.png	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/img/icon/brain-icon.png	(from http://www.mackerelbank.com/)
02:43:24	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d5-17b8b%22	http://code.jquery.com/jquery-1.12.4.min.js	C:/My%20Web%20Sites/_bchd/code.jquery.com/jquery-1.12.4.min.js	(from http://www.mackerelbank.com/)
02:43:25	7956/7956	---M--	200	added ('OK')	image/png	etag:%221f14-5d72a86ef9600%22	http://www.mackerelbank.com/img/icon/origin-icon.png	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/img/icon/origin-icon.png	(from http://www.mackerelbank.com/)
02:43:27	9736/9736	---M--	200	added ('OK')	image/png	etag:%222608-5d72a8a278f80%22	http://www.mackerelbank.com/img/icon/heart-icon.png	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/img/icon/heart-icon.png	(from http://www.mackerelbank.com/)
02:44:19	328677/328677	---M--	200	added ('OK')	image/png	etag:%22503e5-5d72b297a4dc0%22	http://www.mackerelbank.com/img/content/content01.png	C:/My%20Web%20Sites/_bchd/www.mackerelbank.com/img/content/content01.png	(from http://www.mackerelbank.com/)
